customer_id,customer_name,contact_name,phone,phone_clean,email,city,state,region,region_clean,customer_since,,,,,,,,,,,,
CUST00001,Beacon Urgent Care Clinic,Nancy Jones,077.879.5654,(077) 879-5654,Nancy.Jones712@beacon.com,Fargo,ND,North,North,2023-05-28,,,,,,,,,,,,
CUST00002,Westfield Community Clinic,Nicholas Martinez,929-049-0471,(929) 049-0471,Nicholas.Martinez872@westfield.com,Albany,NY,East,East,2016-03-26,,,,,,,,,,,,
CUST00003,Summit Urgent Care Clinic,Donald Morales,019 292 7524,(019) 292-7524,Donald.Morales186@summit.com,Philadelphia,PA,East,East,2021-10-30,,,,,,,,,,,,
CUST00004,Lakeside Long-Term Care Facility,Brian Miller,927 663 7239,(927) 663-7239,Brian.Miller658@lakeside.com,Albany,NY,East,East,2015-12-06,,,,,,,,,,,,
CUST00005,Maple Long-Term Care Facility,Laura Johnson,(747) 836-6742,(747) 836-6742,Laura.Johnson296@maple.com,Milwaukee,WI,North,North,2020-01-25,,,,,,,,,,,,
CUST00006,Union Medical Center,Kathleen Walker,5694544149,(569) 454-4149,Kathleen.Walker752@union.com,Minneapolis,MN,North,North,2023-03-16,,,,,,,,,,,,
CUST00007,Northgate Long-Term Care Facility,Patrick Torres,001-061-8175,(001) 061-8175,Patrick.Torres258@northgate.com,Newark,NJ,East,East,2014-05-01,,,,,,,,,,,,
CUST00008,Riverside Pharmacy,Carolyn White,(391) 119-2692,(391) 119-2692,Carolyn.White260@riverside.com,Minneapolis,MN,North,North,2016-08-10,,,,,,,,,,,,
CUST00009,Cedar Medical Center,Kimberly Thompson,542.140.6650,(542) 140-6650,Kimberly.Thompson452@cedar.com,Portland,OR,West,West,2011-07-23,,,,,,,,,,,,
CUST00010,Northgate Medical Center,Elizabeth Martinez,(128) 639-1741,(128) 639-1741,Elizabeth.Martinez586@northgate.com,Seattle,WA,West,West,2015-08-15,,,,,,,,,,,,
CUST00011,Parkview Long-Term Care Facility,Gary Morris,006 425 6908,(006) 425-6908,Gary.Morris447@parkview.com,Sioux Falls,SD,North,North,2019-01-22,,,,,,,,,,,,
CUST00012,Cedar Long-Term Care Facility,Jonathan Baker,719.855.4601,(719) 855-4601,Jonathan.Baker83@cedar.com,Dallas,TX,South,South,2020-04-23,,,,,,,,,,,,1
CUST00013,Westfield Long-Term Care Facility,John Harris,634-615-7173,(634) 615-7173,John.Harris26@westfield.com,Atlanta,GA,South,South,2023-04-20,,,,,,,,,,,,
CUST00014,Hilltop Hospital,Jessica Ramirez,4787005050,(478) 700-5050,Jessica.Ramirez827@hilltop.com,Sacramento,CA,West,West,2024-08-31,,,,,,,,,,,,
CUST00015,Crossroads Community Clinic,Carolyn Taylor,931-027-0790,(931) 027-0790,Carolyn.Taylor15@crossroads.com,Denver,CO,West,West,2013-11-12,,,,,,,,,,,,
CUST00016,Lakeside Community Clinic,Edward Baker,291-117-9931,(291) 117-9931,Edward.Baker831@lakeside.com,Albany,NY,East,East,2019-01-07,,,,,,,,,,,,
CUST00017,Maple Urgent Care Clinic,Carolyn Mitchell,309-251-1426,(309) 251-1426,Carolyn.Mitchell567@maple.com,Tampa,FL,South,South,2013-09-13,,,,,,,,,,,,
CUST00018,Southport Medical Center,Christine Ramos,962 071 0021,(962) 071-0021,Christine.Ramos909@southport.com,Milwaukee,WI,Midwest,North,2016-05-13,,,,,,,,,,,,
CUST00019,Hilltop Medical Center,Angela Ward,487 632 9092,(487) 632-9092,Angela.Ward974@hilltop.com,Atlanta,GA,South,South,2011-12-23,,,,,,,,,,,,
CUST00020,Westfield Community Clinic,Gregory Clark,318 195 8837,(318) 195-8837,Gregory.Clark284@westfield.com,Boston,MA,Northeast,East,2011-03-11,,,,,,,,,,,,
CUST00021,Maple Hospital,Jennifer Wilson,2005436459,(200) 543-6459,Jennifer.Wilson759@maple.com,Birmingham,AL,South,South,2011-03-06,,,,,,,,,,,,
CUST00022,Valley Health System,Joseph Adams,113-799-5635,(113) 799-5635,Joseph.Adams234@valley.com,Dallas,TX,South,South,2012-03-14,,,,,,,,,,,,
CUST00023,Trinity Hospital,Stephanie Mitchell,179-706-2397,(179) 706-2397,Stephanie.Mitchell140@trinity.com,Birmingham,AL,South,South,2020-04-07,,,,,,,,,,,,
CUST00024,Northgate Community Clinic,Amanda Lewis,209-042-1776,(209) 042-1776,Amanda.Lewis908@northgate.com,Philadelphia,PA,East,East,2016-08-14,,,,,,,,,,,,
CUST00025,Valley Health System,Catherine Diaz,(316) 873-9774,(316) 873-9774,Catherine.Diaz754@valley.com,New Orleans,LA,South,South,2015-07-14,,,,,,,,,,,,
CUST00026,Union Hospital,Anna Gomez,9290600780,(929) 060-0780,Anna.Gomez491@union.com,Denver,CO,West,West,2012-03-13,,,,,,,,,,,,
CUST00027,Hilltop Medical Center,Michelle Lee,063 254 3107,(063) 254-3107,Michelle.Lee721@hilltop.com,Dallas,TX,South,South,2020-04-20,,,,,,,,,,,,
CUST00028,Cornerstone Long-Term Care Facility,Donna Diaz,(262) 570-1658,(262) 570-1658,Donna.Diaz771@cornerstone.com,Sioux Falls,SD,North,North,2016-01-20,,,,,,,,,,,,
CUST00029,Beacon Community Clinic,George Campbell,(508) 501-6579,(508) 501-6579,George.Campbell180@beacon.com,Dallas,TX,South,South,2024-07-15,,,,,,,,,,,,
CUST00030,Cedar Health System,Rachel Diaz,(381) 793-3554,(381) 793-3554,Rachel.Diaz284@cedar.com,Atlanta,GA,South,South,2011-03-23,,,,,,,,,,,,
CUST00031,Mercy Pharmacy,Ryan Lopez,817-884-7951,(817) 884-7951,Ryan.Lopez83@mercy.com,Boston,MA,East,East,2018-10-06,,,,,,,,,,,,
CUST00032,Westfield Hospital,Jacob Hall,127-238-0468,(127) 238-0468,Jacob.Hall431@westfield.com,Minneapolis,MN,North,North,2019-12-16,,,,,,,,,,,,
CUST00033,Riverside Community Clinic,Ryan Hill,8569557988,(856) 955-7988,Ryan.Hill581@riverside.com,Newark,NJ,Northeast,East,2012-12-16,,,,,,,,,,,,
CUST00034,Westfield Long-Term Care Facility,Jonathan Torres,540 254 7292,(540) 254-7292,Jonathan.Torres187@westfield.com,Tampa,FL,South,South,2013-12-07,,,,,,,,,,,,
CUST00035,Summit Long-Term Care Facility,Charles Mitchell,927.452.3805,(927) 452-3805,Thomas.Gutierrez37@eastview.com,Atlanta,GA,Southeast,South,2022-02-09,,,,,,,,,,,,
CUST00036,Heritage Hospital,Raymond Nguyen,672 752 0885,(672) 752-0885,Raymond.Nguyen486@heritage.com,Albany,NY,East,East,2016-07-02,,,,,,,,,,,,
CUST00037,Cornerstone Long-Term Care Facility,Samantha Lewis,7517028140,(751) 702-8140,Samantha.Lewis457@cornerstone.com,New Orleans,LA,South,South,2018-01-06,,,,,,,,,,,,
CUST00038,Union Pharmacy,Ronald Harris,(983) 430-1871,(983) 430-1871,Ronald.Harris503@union.com,Billings,MT,North,North,2017-02-16,,,,,,,,,,,,
CUST00039,Beacon Health System,Barbara Ramirez,(656) 504-5547,(656) 504-5547,Barbara.Ramirez746@beacon.com,Fargo,ND,North,North,2019-12-19,,,,,,,,,,,,
CUST00040,Trinity Community Clinic,Kevin Rodriguez,(662) 991-2347,(662) 991-2347,Kevin.Rodriguez956@trinity.com,Portland,OR,West,West,2023-04-01,,,,,,,,,,,,
CUST00041,Grace Long-Term Care Facility,Stephen Morales,462.879.2326,(462) 879-2326,Stephen.Morales44@grace.com,Minneapolis,MN,North,North,2016-10-09,,,,,,,,,,,,
CUST00042,Cornerstone Long-Term Care Facility,Daniel Morales,7300244714,(730) 024-4714,Daniel.Morales929@cornerstone.com,Boston,MA,East,East,2024-06-18,,,,,,,,,,,,
CUST00043,Riverside Hospital,Shirley Kelly,195.979.6471,(195) 979-6471,Shirley.Kelly18@riverside.com,Fargo,ND,North,North,2015-10-28,,,,,,,,,,,,
CUST00044,Cornerstone Hospital,Anna Martinez,252.045.6504,(252) 045-6504,Anna.Martinez527@cornerstone.com,Milwaukee,WI,North,North,2014-05-07,,,,,,,,,,,,
CUST00045,Valley Long-Term Care Facility,Mary Moore,855-445-1895,(855) 445-1895,Mary.Moore531@valley.com,Billings,MT,North,North,2016-04-24,,,,,,,,,,,,
CUST00046,Hilltop Urgent Care Clinic,Janet Peterson,(213) 283-3898,(213) 283-3898,Janet.Peterson720@hilltop.com,Portland,OR,West,West,2012-07-22,,,,,,,,,,,,
CUST00047,Parkview Medical Center,Raymond Hill,075-452-7985,(075) 452-7985,Raymond.Hill30@parkview.com,Minneapolis,MN,North,North,2012-08-29,,,,,,,,,,,,
CUST00048,Summit Hospital,Susan Jones,321-611-0760,(321) 611-0760,Susan.Jones813@summit.com,Atlanta,GA,South,South,2024-10-18,,,,,,,,,,,,
CUST00049,Cornerstone Health System,Debra Hall,014-011-9393,(014) 011-9393,Debra.Hall30@cornerstone.com,Sioux Falls,SD,Southeast,South,2012-01-14,,,,,,,,,,,,
CUST00050,Eastview Hospital,Janet Harris,893-891-1908,(893) 891-1908,Janet.Harris988@eastview.com,Philadelphia,PA,East,East,2016-04-27,,,,,,,,,,,,
CUST00051,Heritage Hospital,Margaret Rogers,8759271256,(875) 927-1256,Margaret.Rogers234@heritage.com,Minneapolis,MN,North,North,2019-02-21,,,,,,,,,,,,
CUST00052,Union Pharmacy,Ryan Kim,754.801.5716,(754) 801-5716,Ryan.Kim754@union.com,Sioux Falls,SD,Northeast,East,2016-12-30,,,,,,,,,,,,
CUST00053,Parkview Community Clinic,Eric Hernandez,6317520716,(631) 752-0716,Eric.Hernandez123@parkview.com,New Orleans,LA,South,South,2013-03-20,,,,,,,,,,,,
CUST00054,Grace Medical Center,Paul Phillips,(539) 613-6749,(539) 613-6749,Paul.Phillips365@grace.com,Milwaukee,WI,Northeast,East,2020-09-02,,,,,,,,,,,,
CUST00055,Beacon Community Clinic,Jack Miller,(271) 147-7320,(271) 147-7320,Jack.Miller851@beacon.com,Phoenix,AZ,West,West,2011-07-13,,,,,,,,,,,,
CUST00056,Riverside Medical Center,Donna Murphy,524-991-1877,(524) 991-1877,Donna.Murphy503@riverside.com,Birmingham,AL,South,South,2021-04-28,,,,,,,,,,,,
CUST00057,Heritage Urgent Care Clinic,Daniel Bailey,(061) 675-6770,(061) 675-6770,Daniel.Bailey676@heritage.com,Hartford,CT,East,East,2016-10-18,,,,,,,,,,,,
CUST00058,Valley Community Clinic,Christopher Cook,(671) 978-8977,(671) 978-8977,Christopher.Cook58@valley.com,Phoenix,AZ,West,West,2018-10-12,,,,,,,,,,,,
CUST00059,Hilltop Urgent Care Clinic,Benjamin Baker,(450) 090-2559,(450) 090-2559,Benjamin.Baker390@hilltop.com,Denver,CO,West,West,2012-03-08,,,,,,,,,,,,
CUST00060,Mercy Medical Center,Robert Morgan,333-491-1415,(333) 491-1415,Robert.Morgan334@mercy.com,Boston,MA,East,East,2010-11-03,,,,,,,,,,,,
CUST00061,Trinity Medical Center,Alexander Clark,(905) 696-5917,(905) 696-5917,Alexander.Clark345@trinity.com,Portland,OR,Southeast,South,2021-02-21,,,,,,,,,,,,
CUST00062,Union Health System,Rebecca Lewis,(637) 183-4404,(637) 183-4404,Rebecca.Lewis640@union.com,New Orleans,LA,South,South,2012-01-24,,,,,,,,,,,,
CUST00063,Cornerstone Community Clinic,Laura Cooper,198.763.5148,(198) 763-5148,Laura.Cooper321@cornerstone.com,Billings,MT,North,North,2014-06-28,,,,,,,,,,,,
CUST00064,Grace Medical Center,Jonathan Ward,820 829 7374,(820) 829-7374,Jonathan.Ward874@grace.com,Hartford,CT,East,East,2019-09-24,,,,,,,,,,,,
CUST00065,Lakeside Health System,Samuel Lee,324.665.1364,(324) 665-1364,Samuel.Lee263@lakeside.com,Tampa,FL,South,South,2023-06-27,,,,,,,,,,,,
CUST00066,Grace Hospital,Paul Moore,034-778-6603,(034) 778-6603,Paul.Moore30@grace.com,Dallas,TX,South,South,2015-10-18,,,,,,,,,,,,
CUST00067,Eastview Long-Term Care Facility,Gregory Lopez,700 159 4165,(700) 159-4165,Gregory.Lopez407@eastview.com,Dallas,TX,South,South,2013-02-25,,,,,,,,,,,,
CUST00068,Maple Hospital,Jack Roberts,(984) 713-9155,(984) 713-9155,Jack.Roberts826@maple.com,Billings,MT,North,North,2015-04-17,,,,,,,,,,,,
CUST00069,Northgate Medical Center,Brenda Diaz,476.490.7851,(476) 490-7851,Brenda.Diaz487@northgate.com,Dallas,TX,South,South,2015-07-12,,,,,,,,,,,,
CUST00070,Summit Urgent Care Clinic,Carolyn Campbell,409 003 4864,(409) 003-4864,Carolyn.Campbell925@summit.com,Boston,MA,East,East,2012-09-26,,,,,,,,,,,,
CUST00071,Southport Health System,Emily Hernandez,(441) 343-2756,(441) 343-2756,Deborah.Martinez630@lakeside.com,Phoenix,AZ,Southeast,South,2021-01-10,,,,,,,,,,,,
CUST00072,Trinity Medical Center,Alexander Brown,1248156985,(124) 815-6985,Alexander.Brown781@trinity.com,Boston,MA,East,East,2011-03-03,,,,,,,,,,,,
CUST00073,Valley Community Clinic,Jason Green,459 112 3829,(459) 112-3829,Jason.Green463@valley.com,Seattle,WA,Northeast,East,2020-09-23,,,,,,,,,,,,
CUST00074,Summit Long-Term Care Facility,Robert Williams,543-165-2669,(543) 165-2669,James.Stewart126@crossroads.com,Newark,NJ,East,East,2022-07-12,,,,,,,,,,,,
CUST00075,Beacon Community Clinic,Deborah Perez,(342) 069-6942,(342) 069-6942,Deborah.Perez970@beacon.com,Dallas,TX,South,South,2022-09-21,,,,,,,,,,,,
CUST00076,Riverside Pharmacy,Anthony Kim,7133344762,(713) 334-4762,Anthony.Kim221@riverside.com,Phoenix,AZ,West,West,2016-05-07,,,,,,,,,,,,
CUST00077,Northgate Community Clinic,Samuel Collins,204 439 7359,(204) 439-7359,Samuel.Collins88@northgate.com,Seattle,WA,West,West,2010-03-26,,,,,,,,,,,,
CUST00078,Summit Medical Center,Jacob Rivera,669-411-8005,(669) 411-8005,Jonathan.Hernandez546@parkview.com,Boston,MA,East,East,2023-06-02,,,,,,,,,,,,
CUST00079,Lakeside Community Clinic,Nicholas Murphy,646-528-0924,(646) 528-0924,Nicholas.Murphy953@lakeside.com,Fargo,ND,North,North,2017-08-10,,,,,,,,,,,,
CUST00080,Summit Medical Center,Andrew King,6241502745,(624) 150-2745,Andrew.King628@summit.com,Fargo,ND,North,North,2015-12-01,,,,,,,,,,,,
CUST00081,Union Health System,Jacob King,(728) 703-2032,(728) 703-2032,Jacob.King168@union.com,Seattle,WA,West,West,2020-06-23,,,,,,,,,,,,
CUST00082,Maple Medical Center,Lisa Perez,877.712.1513,(877) 712-1513,Lisa.Perez768@maple.com,Sacramento,CA,West,West,2021-05-30,,,,,,,,,,,,
CUST00083,Eastview Long-Term Care Facility,Andrew Thomas,(089) 261-3715,(089) 261-3715,Andrew.Thomas404@eastview.com,New Orleans,LA,South,South,2018-05-19,,,,,,,,,,,,
CUST00084,Maple Health System,Catherine Reed,774 905 0975,(774) 905-0975,Catherine.Reed133@maple.com,Newark,NJ,Southeast,South,2014-09-28,,,,,,,,,,,,
CUST00085,Lakeside Long-Term Care Facility,Robert Clark,(189) 616-4236,(189) 616-4236,Robert.Clark167@lakeside.com,Philadelphia,PA,East,East,2018-09-18,,,,,,,,,,,,
CUST00086,Grace Long-Term Care Facility,Cynthia Roberts,7649251583,(764) 925-1583,Cynthia.Roberts488@grace.com,Newark,NJ,East,East,2016-01-09,,,,,,,,,,,,
CUST00087,Beacon Health System,Mark Martin,592 661 0857,(592) 661-0857,Mark.Martin954@beacon.com,Sacramento,CA,West,West,2021-02-09,,,,,,,,,,,,
CUST00088,Crossroads Health System,Michael Peterson,(174) 224-3864,(174) 224-3864,Michael.Peterson79@crossroads.com,Fargo,ND,North,North,2011-01-05,,,,,,,,,,,,
CUST00089,Maple Health System,Lisa Gomez,945-491-8017,(945) 491-8017,Lisa.Gomez47@maple.com,Phoenix,AZ,Midwest,North,2011-11-14,,,,,,,,,,,,
CUST00090,Westfield Medical Center,Susan Parker,794 523 2194,(794) 523-2194,Susan.Parker548@westfield.com,Hartford,CT,East,East,2010-05-27,,,,,,,,,,,,
CUST00091,Grace Pharmacy,Barbara Taylor,776.974.9956,(776) 974-9956,Barbara.Taylor139@grace.com,Minneapolis,MN,North,North,2010-04-24,,,,,,,,,,,,
CUST00092,Maple Hospital,Jacob Diaz,372-368-3147,(372) 368-3147,Jacob.Diaz23@maple.com,Milwaukee,WI,North,North,2012-08-12,,,,,,,,,,,,
CUST00093,Summit Hospital,Benjamin Parker,(793) 349-6050,(793) 349-6050,Benjamin.Parker426@summit.com,Phoenix,AZ,West,West,2021-02-12,,,,,,,,,,,,
