employee_id,first_name,last_name,email,store_id,role,hire_date,salary
EMP0001,Pamela,Sanchez,PamelaSanchez@meridianpharma.com,DC023,Logistics Coordinator,6/21/2016,58418.94
EMP0002,James,Lee,JamesLee@meridianpharma.com,DC011,Store Manager,9/29/2015,62924.47
EMP0003,Susan,Lopez,SusanLopez@meridianpharma.com,DC012,Pharmacist Liaison,10/8/2020,69751.09
EMP0004,Ryan,Morgan,RyanMorgan@meridianpharma.com,DC013,Cashier,3/11/2020,34294.05
EMP0005,George,Kelly,GeorgeKelly@meridianpharma.com,DC003,Sales Associate,6/1/2021,48347.75
EMP0006,David,Robinson,DavidRobinson@meridianpharma.com,DC013,Store Manager,2/1/2019,72929.29
EMP0007,Deborah,Rivera,DeborahRivera@meridianpharma.com,DC009,Cashier,10/31/2020,38600.73
EMP0008,Ashley,Lee,AshleyLee@meridianpharma.com,DC009,Shift Supervisor,9/5/2021,45284.45
EMP0009,Linda,Robinson,LindaRobinson@meridianpharma.com,DC011,Logistics Coordinator,1/1/2017,50643.63
EMP0010,Larry,Green,LarryGreen@meridianpharma.com,DC016,Logistics Coordinator,12/3/2023,67865.32
EMP0011,Kimberly,Moore,KimberlyMoore@meridianpharma.com,DC018,Store Manager,5/18/2022,71713.15
EMP0012,Rebecca,Campbell,RebeccaCampbell@meridianpharma.com,DC005,Account Representative,1/8/2015,67985.95
EMP0013,Karen,Lee,KarenLee@meridianpharma.com,DC014,Cashier,4/26/2018,35408.40
EMP0014,Anna,Allen,AnnaAllen@meridianpharma.com,DC001,Cashier,8/24/2021,41748.33
EMP0015,Samuel,Baker,SamuelBaker@meridianpharma.com,DC014,Inventory Clerk,2/2/2019,33194.30
EMP0016,Patrick,King,PatrickKing@meridianpharma.com,DC006,Cashier,10/6/2023,38478.78
EMP0017,Nicholas,Cox,NicholasCox@meridianpharma.com,DC012,Inventory Clerk,1/19/2020,46165.27
EMP0018,James,Kim,JamesKim@meridianpharma.com,DC001,Cashier,6/2/2024,35173.56
EMP0019,Michelle,Walker,MichelleWalker@meridianpharma.com,DC019,Cashier,12/17/2014,39822.04
EMP0020,Jonathan,Taylor,JonathanTaylor@meridianpharma.com,DC016,Inventory Clerk,12/21/2016,40352.75
EMP0021,Margaret,Cooper,MargaretCooper@meridianpharma.com,DC023,Shift Supervisor,12/30/2021,45077.73
EMP0022,Christine,Mitchell,ChristineMitchell@meridianpharma.com,DC017,Account Representative,5/11/2015,57142.78
EMP0023,Robert,Ramos,RobertRamos@meridianpharma.com,DC019,Shift Supervisor,1/30/2014,41117.84
EMP0024,Sandra,Rodriguez,SandraRodriguez@meridianpharma.com,DC011,Cashier,10/7/2019,33598.86
EMP0025,Margaret,Cooper,MargaretCooper@meridianpharma.com,DC019,Account Representative,9/22/2016,68601.62
EMP0026,Matthew,Gonzalez,MatthewGonzalez@meridianpharma.com,DC014,Pharmacist Liaison,10/1/2018,73547.55
EMP0027,Michael,Gonzalez,MichaelGonzalez@meridianpharma.com,DC024,Pharmacist Liaison,12/24/2022,85217.32
EMP0028,Matthew,Morgan,MatthewMorgan@meridianpharma.com,DC014,Inventory Clerk,2/14/2017,39464.87
EMP0029,Elizabeth,Cruz,ElizabethCruz@meridianpharma.com,DC018,Cashier,7/27/2014,38817.03
EMP0030,Mary,Lopez,MaryLopez@meridianpharma.com,DC008,Inventory Clerk,7/23/2018,39779.00
EMP0031,Rebecca,Davis,RebeccaDavis@meridianpharma.com,DC001,Logistics Coordinator,12/22/2016,68108.32
EMP0032,Andrew,Diaz,AndrewDiaz@meridianpharma.com,DC024,Account Representative,9/27/2015,55904.32
