employee_id,first_name,last_name,email,store_id,role,hire_date,salary
EMP0001,Pamela,Sanchez,PamelaSanchez@meridianpharma.com,DC023,Logistics Coordinator,2016-06-21,58418.94
EMP0002,James,Lee,JamesLee@meridianpharma.com,DC011,Store Manager,2015-09-29,62924.47
EMP0003,Susan,Lopez,SusanLopez@meridianpharma.com,DC012,Pharmacist Liaison,2020-10-08,69751.09
EMP0004,Ryan,Morgan,RyanMorgan@meridianpharma.com,DC013,Cashier,2020-03-11,34294.05
EMP0005,George,Kelly,GeorgeKelly@meridianpharma.com,DC003,Sales Associate,2021-06-01,48347.75
EMP0006,David,Robinson,DavidRobinson@meridianpharma.com,DC013,Store Manager,2019-02-01,72929.29
EMP0007,Deborah,Rivera,DeborahRivera@meridianpharma.com,DC009,Cashier,2020-10-31,38600.73
EMP0008,Ashley,Lee,AshleyLee@meridianpharma.com,DC009,Shift Supervisor,2021-09-05,45284.45
EMP0009,Linda,Robinson,LindaRobinson@meridianpharma.com,DC011,Logistics Coordinator,2017-01-01,50643.63
EMP0010,Larry,Green,LarryGreen@meridianpharma.com,DC016,Logistics Coordinator,2023-12-03,67865.32
EMP0011,Kimberly,Moore,KimberlyMoore@meridianpharma.com,DC018,Store Manager,2022-05-18,71713.15
EMP0012,Rebecca,Campbell,RebeccaCampbell@meridianpharma.com,DC005,Account Representative,2015-01-08,67985.95
EMP0013,Karen,Lee,KarenLee@meridianpharma.com,DC014,Cashier,2018-04-26,35408.4
EMP0014,Anna,Allen,AnnaAllen@meridianpharma.com,DC001,Cashier,2021-08-24,41748.33
EMP0015,Samuel,Baker,SamuelBaker@meridianpharma.com,DC014,Inventory Clerk,2019-02-02,33194.3
EMP0016,Patrick,King,PatrickKing@meridianpharma.com,DC006,Cashier,2023-10-06,38478.78
EMP0017,Nicholas,Cox,NicholasCox@meridianpharma.com,DC012,Inventory Clerk,2020-01-19,46165.27
EMP0018,James,Kim,JamesKim@meridianpharma.com,DC001,Cashier,2024-06-02,35173.56
EMP0019,Michelle,Walker,MichelleWalker@meridianpharma.com,DC019,Cashier,2014-12-17,39822.04
EMP0020,Jonathan,Taylor,JonathanTaylor@meridianpharma.com,DC016,Inventory Clerk,2016-12-21,40352.75
EMP0021,Margaret,Cooper,MargaretCooper@meridianpharma.com,DC023,Shift Supervisor,2021-12-30,45077.73
EMP0022,Christine,Mitchell,ChristineMitchell@meridianpharma.com,DC017,Account Representative,2015-05-11,57142.78
EMP0023,Robert,Ramos,RobertRamos@meridianpharma.com,DC019,Shift Supervisor,2014-01-30,41117.84
EMP0024,Sandra,Rodriguez,SandraRodriguez@meridianpharma.com,DC011,Cashier,2019-10-07,33598.86
EMP0025,Margaret,Cooper,MargaretCooper@meridianpharma.com,DC019,Account Representative,2016-09-22,68601.62
EMP0026,Matthew,Gonzalez,MatthewGonzalez@meridianpharma.com,DC014,Pharmacist Liaison,2018-10-01,73547.55
EMP0027,Michael,Gonzalez,MichaelGonzalez@meridianpharma.com,DC024,Pharmacist Liaison,2022-12-24,85217.32
EMP0028,Matthew,Morgan,MatthewMorgan@meridianpharma.com,DC014,Inventory Clerk,2017-02-14,39464.87
EMP0029,Elizabeth,Cruz,ElizabethCruz@meridianpharma.com,DC018,Cashier,2014-07-27,38817.03
EMP0030,Mary,Lopez,MaryLopez@meridianpharma.com,DC008,Inventory Clerk,2018-07-23,39779.0
EMP0031,Rebecca,Davis,RebeccaDavis@meridianpharma.com,DC001,Logistics Coordinator,2016-12-22,68108.32
EMP0032,Andrew,Diaz,AndrewDiaz@meridianpharma.com,DC024,Account Representative,2015-09-27,55904.32
EMP0033,Linda,Howard,LindaHoward@meridianpharma.com,DC002,Pharmacist Liaison,2014-08-23,64198.69
EMP0034,Anna,Lee,AnnaLee@meridianpharma.com,DC017,Cashier,2023-07-20,32941.39
EMP0035,Frank,Walker,FrankWalker@meridianpharma.com,DC019,Shift Supervisor,2020-06-29,49729.84
EMP0036,Sharon,Howard,SharonHoward@meridianpharma.com,DC011,Store Manager,2016-04-16,73739.48
EMP0037,Kimberly,Gomez,KimberlyGomez@meridianpharma.com,DC021,Store Manager,2019-02-16,65325.02
EMP0038,Elizabeth,Johnson,ElizabethJohnson@meridianpharma.com,DC019,Cashier,2014-10-28,37374.19
EMP0039,Thomas,Hall,ThomasHall@meridianpharma.com,DC008,Pharmacist Liaison,2017-03-13,66985.64
EMP0040,Raymond,Hill,RaymondHill@meridianpharma.com,DC021,Sales Associate,2021-06-28,59071.3
EMP0041,Gregory,Wilson,GregoryWilson@meridianpharma.com,DC005,Store Manager,2015-04-18,78975.16
EMP0042,Karen,Wright,KarenWright@meridianpharma.com,DC007,Pharmacist Liaison,2016-04-13,80706.18
EMP0043,Nicholas,Morales,NicholasMorales@meridianpharma.com,DC002,Cashier,2021-02-11,35937.05
EMP0044,James,Nelson,JamesNelson@meridianpharma.com,DC021,Store Manager,2015-10-24,75441.3
EMP0045,Edward,Bailey,EdwardBailey@meridianpharma.com,DC999,Inventory Clerk,2020-02-13,33641.78
EMP0046,Stephen,Jackson,StephenJackson@meridianpharma.com,DC002,Store Manager,2018-02-02,79195.76
EMP0047,Jennifer,Rivera,JenniferRivera@meridianpharma.com,DC008,Cashier,2017-12-19,40429.46
EMP0048,Jason,Richardson,JasonRichardson@meridianpharma.com,DC008,Inventory Clerk,2024-12-12,44068.46
EMP0049,Jason,Brown,JasonBrown@meridianpharma.com,DC011,Logistics Coordinator,2022-12-30,62899.11
EMP0050,Ashley,Wright,AshleyWright@meridianpharma.com,DC023,Cashier,2018-04-16,41589.3
EMP0051,Mark,Sanchez,MarkSanchez@meridianpharma.com,DC015,Pharmacist Liaison,2017-06-04,84151.89
EMP0052,Mark,Brown,MarkBrown@meridianpharma.com,DC013,Pharmacist Liaison,2017-02-15,85286.74
EMP0053,Emily,Hall,EmilyHall@meridianpharma.com,DC013,Pharmacist Liaison,2024-07-14,63614.85
EMP0054,Kimberly,Thompson,KimberlyThompson@meridianpharma.com,DC009,Sales Associate,2015-03-21,55057.6
EMP0055,Kenneth,Parker,KennethParker@meridianpharma.com,DC017,Cashier,2018-04-27,41933.76
EMP0056,Jennifer,Parker,JenniferParker@meridianpharma.com,,Shift Supervisor,2018-01-31,47044.84
EMP0057,Kevin,Richardson,KevinRichardson@meridianpharma.com,DC004,Store Manager,2019-09-09,65160.97
EMP0058,Rebecca,Nguyen,RebeccaNguyen@meridianpharma.com,DC007,Logistics Coordinator,2021-06-16,68389.38
EMP0059,Daniel,Ward,DanielWard@meridianpharma.com,DC013,Sales Associate,2017-05-29,49421.83
EMP0060,Justin,Cox,JustinCox@meridianpharma.com,DC015,Account Representative,2018-12-17,66274.64
EMP0061,Jack,Perez,JackPerez@meridianpharma.com,DC010,Pharmacist Liaison,2015-01-18,84097.17
EMP0062,Frank,Flores,FrankFlores@meridianpharma.com,DC007,Inventory Clerk,2014-04-11,33780.82
EMP0063,Brandon,Martinez,BrandonMartinez@meridianpharma.com,DC021,Shift Supervisor,2022-01-21,51405.03
EMP0064,Ashley,Jackson,AshleyJackson@meridianpharma.com,DC001,Cashier,2022-09-24,35956.84
EMP0065,Carolyn,Gutierrez,CarolynGutierrez@meridianpharma.com,DC018,Shift Supervisor,2024-04-15,53905.13
EMP0066,Kathleen,Ortiz,KathleenOrtiz@meridianpharma.com,DC020,Pharmacist Liaison,2024-08-27,82460.98
EMP0067,Patrick,Cook,PatrickCook@meridianpharma.com,DC018,Account Representative,2024-01-23,55248.02
EMP0068,Cynthia,King,CynthiaKing@meridianpharma.com,DC021,Store Manager,2022-08-03,76308.66
EMP0069,Donald,Scott,DonaldScott@meridianpharma.com,DC023,Store Manager,2016-08-18,64266.82
EMP0070,Brenda,Hernandez,BrendaHernandez@meridianpharma.com,DC008,Logistics Coordinator,2021-10-13,52401.95
EMP0071,Sharon,Evans,SharonEvans@meridianpharma.com,DC015,Logistics Coordinator,2014-09-13,53498.74
EMP0072,Justin,Williams,JustinWilliams@meridianpharma.com,DC019,Logistics Coordinator,2019-05-08,49419.69
EMP0073,Stephanie,Turner,StephanieTurner@meridianpharma.com,DC024,Shift Supervisor,2019-06-23,43559.49
EMP0074,Patricia,Roberts,PatriciaRoberts@meridianpharma.com,DC022,Logistics Coordinator,2022-02-14,52650.41
EMP0075,Thomas,Richardson,ThomasRichardson@meridianpharma.com,DC013,Sales Associate,2014-12-10,55898.04
EMP0076,Kathleen,White,KathleenWhite@meridianpharma.com,DC013,Pharmacist Liaison,2016-05-16,74676.71
EMP0077,Timothy,Scott,TimothyScott@meridianpharma.com,DC014,Store Manager,2023-05-13,
EMP0078,Brenda,Miller,BrendaMiller@meridianpharma.com,DC012,Shift Supervisor,2021-04-16,41078.77
EMP0079,Jennifer,Brown,JenniferBrown@meridianpharma.com,DC007,Sales Associate,2020-12-19,46973.36
EMP0080,Debra,Anderson,DebraAnderson@meridianpharma.com,DC007,Account Representative,2021-11-05,57320.8
EMP0081,Helen,Cox,HelenCox@meridianpharma.com,DC023,Cashier,2022-09-21,40923.19
EMP0082,Susan,Howard,SusanHoward@meridianpharma.com,DC0,Logistics Coordinator,2018-06-13,68411.85
