"employee_id","full_name","role","store_id"
"EMP0077","Timothy Scott","Store Manager","DC014"
"EMP0084","Brian Morgan","Cashier","DC012"
"EMP0132","Justin Jackson","Store Manager","DC021"
"EMP0142","Frank Gomez","Pharmacist Liaison","DC018"
"EMP0170","Paul Brown","Store Manager","DC023"
"EMP0281","Rebecca Gonzalez","Account Representative","DC005"
"EMP0294","Jonathan Gomez","Shift Supervisor","DC024"
"EMP0318","Brandon Morris","Sales Associate","DC001"
"EMP0499","Brandon Parker","Logistics Coordinator","DC013"
"EMP0512","Jennifer Peterson","Account Representative","DC007"
"EMP0532","Janet Campbell","Cashier","DC004"
"EMP0581","Betty King","Cashier","DC021"
"EMP0617","Eric Robinson","Sales Associate","DC022"
"EMP0655","Barbara Cruz","Store Manager","DC014"
"EMP0657","Amy Hill","Store Manager",""
"EMP0678","George Collins","Logistics Coordinator",""
